raw_sample_id	participant	sample	sample_vial	aliquot	source
TCGA-3C-AALJ-01A-11-A617-42	TCGA-3C-AALJ	TCGA-3C-AALJ-01	TCGA-3C-AALJ-01A	TCGA-3C-AALJ-01A-11-A617-42	TCGA_ATAC_case_level
TCGA-4H-AAAK-01A-31-A617-42	TCGA-4H-AAAK	TCGA-4H-AAAK-01	TCGA-4H-AAAK-01A	TCGA-4H-AAAK-01A-31-A617-42	TCGA_ATAC_case_level
TCGA-A2-A0CX-01A-31-A602-42	TCGA-A2-A0CX	TCGA-A2-A0CX-01	TCGA-A2-A0CX-01A	TCGA-A2-A0CX-01A-31-A602-42	TCGA_ATAC_case_level
TCGA-A2-A0ES-01A-31-A615-42	TCGA-A2-A0ES	TCGA-A2-A0ES-01	TCGA-A2-A0ES-01A	TCGA-A2-A0ES-01A-31-A615-42	TCGA_ATAC_case_level
TCGA-A2-A0ET-01A-11-A615-42	TCGA-A2-A0ET	TCGA-A2-A0ET-01	TCGA-A2-A0ET-01A	TCGA-A2-A0ET-01A-11-A615-42	TCGA_ATAC_case_level
TCGA-A2-A0EV-01A-31-A615-42	TCGA-A2-A0EV	TCGA-A2-A0EV-01	TCGA-A2-A0EV-01A	TCGA-A2-A0EV-01A-31-A615-42	TCGA_ATAC_case_level
TCGA-A2-A0EW-01A-11-A615-42	TCGA-A2-A0EW	TCGA-A2-A0EW-01	TCGA-A2-A0EW-01A	TCGA-A2-A0EW-01A-11-A615-42	TCGA_ATAC_case_level
TCGA-A2-A0EX-01A-31-A615-42	TCGA-A2-A0EX	TCGA-A2-A0EX-01	TCGA-A2-A0EX-01A	TCGA-A2-A0EX-01A-31-A615-42	TCGA_ATAC_case_level
TCGA-A2-A0EY-01A-32-A617-42	TCGA-A2-A0EY	TCGA-A2-A0EY-01	TCGA-A2-A0EY-01A	TCGA-A2-A0EY-01A-32-A617-42	TCGA_ATAC_case_level
TCGA-A2-A0SV-01A-31-A615-42	TCGA-A2-A0SV	TCGA-A2-A0SV-01	TCGA-A2-A0SV-01A	TCGA-A2-A0SV-01A-31-A615-42	TCGA_ATAC_case_level
TCGA-A2-A0SW-01A-31-A615-42	TCGA-A2-A0SW	TCGA-A2-A0SW-01	TCGA-A2-A0SW-01A	TCGA-A2-A0SW-01A-31-A615-42	TCGA_ATAC_case_level
TCGA-A2-A0SX-01A-31-A615-42	TCGA-A2-A0SX	TCGA-A2-A0SX-01	TCGA-A2-A0SX-01A	TCGA-A2-A0SX-01A-31-A615-42	TCGA_ATAC_case_level
TCGA-A2-A0T4-01A-11-A602-42	TCGA-A2-A0T4	TCGA-A2-A0T4-01	TCGA-A2-A0T4-01A	TCGA-A2-A0T4-01A-11-A602-42	TCGA_ATAC_case_level
TCGA-A2-A0T4-01A-41-A602-42	TCGA-A2-A0T4	TCGA-A2-A0T4-01	TCGA-A2-A0T4-01A	TCGA-A2-A0T4-01A-41-A602-42	TCGA_ATAC_case_level
TCGA-A2-A0T5-01A-41-A615-42	TCGA-A2-A0T5	TCGA-A2-A0T5-01	TCGA-A2-A0T5-01A	TCGA-A2-A0T5-01A-41-A615-42	TCGA_ATAC_case_level
TCGA-A2-A0T6-01A-31-A615-42	TCGA-A2-A0T6	TCGA-A2-A0T6-01	TCGA-A2-A0T6-01A	TCGA-A2-A0T6-01A-31-A615-42	TCGA_ATAC_case_level
