sample_id	PAM50_recomputed	PAM50Call_RNAseq	PAM50_final	thornsson_subtype	CPE
TCGA-3C-AAAU-01	LumB		LumB		0.7886
TCGA-3C-AALI-01	Her2		Her2		0.6974
TCGA-3C-AALJ-01	LumB		LumB		0.7666
TCGA-3C-AALK-01	LumA		LumA		0.6869
TCGA-4H-AAAK-01	LumA		LumA		0.649
TCGA-5L-AAT0-01	LumA		LumA		0.6501
TCGA-5L-AAT1-01	LumA		LumA		0.5553
TCGA-5T-A9QA-01	LumB		LumB		0.8368
TCGA-A1-A0SB-01	Basal	Normal	Normal		0.9328
TCGA-A1-A0SD-01	LumA	LumA	LumA		0.6906
TCGA-A1-A0SE-01	LumA	LumA	LumA		0.7979
TCGA-A1-A0SF-01	LumA	LumA	LumA		0.7237
TCGA-A1-A0SG-01	LumA	LumA	LumA		0.7569
TCGA-A1-A0SH-01	LumA	LumA	LumA		0.6574
TCGA-A1-A0SI-01	Her2	LumB	LumB		0.6438
TCGA-A1-A0SJ-01	LumB	LumA	LumA		0.7984
TCGA-A1-A0SK-01	Basal	Basal	Basal		0.9288
TCGA-A1-A0SM-01	Her2	LumA	LumA		0.7903
TCGA-A1-A0SN-01	LumB	LumB	LumB		0.6915
TCGA-A1-A0SO-01	Basal	Basal	Basal		0.9325
TCGA-A1-A0SP-01	Basal	Basal	Basal		0.6913
TCGA-A1-A0SQ-01	LumA	LumA	LumA		0.8417
TCGA-A2-A04N-01	LumA	LumA	LumA		0.717
TCGA-A2-A04P-01	Basal	Basal	Basal		0.7001
TCGA-A2-A04Q-01	Basal	Basal	Basal		0.3242
TCGA-A2-A04R-01	LumB	LumB	LumB		0.9501
TCGA-A2-A04T-01	Basal	Basal	Basal		0.7466
TCGA-A2-A04U-01	Basal	Basal	Basal		0.8602
TCGA-A2-A04V-01	LumB	LumA	LumA		0.8341
TCGA-A2-A04W-01	Her2	Her2	Her2		0.7309
TCGA-A2-A04X-01	Her2	Her2	Her2		0.7223
TCGA-A2-A04Y-01	LumB	LumB	LumB		0.7318
TCGA-A2-A0CK-01	LumA		LumA		0.7057
TCGA-A2-A0CL-01	Her2	Normal	Normal		0.3716
TCGA-A2-A0CM-01	Basal	Basal	Basal		0.5497
TCGA-A2-A0CO-01	LumA		LumA		0.7228
TCGA-A2-A0CP-01	LumA	LumA	LumA		0.6409
TCGA-A2-A0CQ-01	LumB	LumA	LumA		0.7701
TCGA-A2-A0CR-01	Normal		Normal		0.4889
TCGA-A2-A0CS-01	LumB	LumA	LumA		0.7057
TCGA-A2-A0CT-01	LumB	LumA	LumA		1.0
TCGA-A2-A0CU-01	LumB	LumA	LumA		0.7034
TCGA-A2-A0CV-01	LumA	LumA	LumA		0.625
TCGA-A2-A0CW-01	LumB	LumB	LumB		0.8349
TCGA-A2-A0CX-01	Her2	Her2	Her2		0.5922
TCGA-A2-A0CY-01	LumB		LumB		0.5145
TCGA-A2-A0CZ-01	Normal	Normal	Normal		0.7413
TCGA-A2-A0D0-01	Basal	Basal	Basal		0.8171
TCGA-A2-A0D1-01	Her2	Her2	Her2		0.898
TCGA-A2-A0D2-01	Basal	Basal	Basal		0.712
TCGA-A2-A0D3-01	LumA	LumA	LumA		0.8266
TCGA-A2-A0D4-01	LumB	LumB	LumB		0.8456
TCGA-A2-A0EM-01	LumA	LumA	LumA		0.7913
TCGA-A2-A0EN-01	LumA	LumA	LumA		0.5883
TCGA-A2-A0EO-01	LumA	LumA	LumA		0.6086
TCGA-A2-A0EP-01	LumB		LumB		0.3512
TCGA-A2-A0EQ-01	Her2	Her2	Her2		0.5025
TCGA-A2-A0ER-01	LumB	LumA	LumA		0.8351
TCGA-A2-A0ES-01	Normal	LumA	LumA		0.7674
TCGA-A2-A0ET-01	LumB	LumA	LumA		0.861
TCGA-A2-A0EU-01	LumB	LumA	LumA		0.84
TCGA-A2-A0EV-01	LumB	LumA	LumA		0.5945
TCGA-A2-A0EW-01	LumA	LumA	LumA		0.5991
TCGA-A2-A0EX-01	LumA	LumA	LumA		0.6738
TCGA-A2-A0EY-01	Her2	LumB	LumB		0.7092
TCGA-A2-A0ST-01	Basal	Basal	Basal		0.3132
TCGA-A2-A0SU-01	LumA	LumA	LumA		0.7712
TCGA-A2-A0SV-01	LumB	LumB	LumB		0.6729
TCGA-A2-A0SW-01	LumB	LumB	LumB		0.6421
TCGA-A2-A0SX-01	Basal	Basal	Basal		0.6626
TCGA-A2-A0SY-01	LumA	LumA	LumA		0.8188
TCGA-A2-A0T0-01	Basal	Basal	Basal		0.7259
TCGA-A2-A0T1-01	Her2	Her2	Her2		0.4113
TCGA-A2-A0T2-01	Basal	Basal	Basal		0.8631
TCGA-A2-A0T3-01	LumB	LumB	LumB		0.7466
TCGA-A2-A0T4-01	LumB	LumA	LumA		0.6972
TCGA-A2-A0T5-01	LumA	LumA	LumA		0.7658
TCGA-A2-A0T6-01	LumA	LumA	LumA		0.7257
TCGA-A2-A0T7-01	Normal	LumA	LumA		0.7923
TCGA-A2-A0YC-01	LumB	LumA	LumA		0.8188
TCGA-A2-A0YD-01	LumA	LumA	LumA		0.7142
TCGA-A2-A0YE-01	Basal	Basal	Basal		0.8224
TCGA-A2-A0YF-01	LumB	LumA	LumA		0.8519
TCGA-A2-A0YG-01	Her2	LumB	LumB		0.7976
TCGA-A2-A0YH-01	LumB	LumB	LumB		0.6068
TCGA-A2-A0YI-01	LumA	LumA	LumA		0.6682
TCGA-A2-A0YJ-01	Basal	Basal	Basal		0.726
TCGA-A2-A0YK-01	Normal	Normal	Normal		0.5516
TCGA-A2-A0YL-01	Normal	LumA	LumA		0.7032
TCGA-A2-A0YM-01	Basal	Basal	Basal		0.7266
TCGA-A2-A0YT-01	LumB	LumB	LumB		0.7817
TCGA-A2-A1FV-01	LumA	LumA	LumA		0.9309
TCGA-A2-A1FW-01	LumB	LumB	LumB		0.8923
TCGA-A2-A1FX-01	LumB	LumB	LumB		0.8364
TCGA-A2-A1FZ-01	LumA	LumA	LumA		0.7087
TCGA-A2-A1G0-01	LumA	LumA	LumA		0.7088
TCGA-A2-A1G1-01	Basal	Basal	Basal		0.5685
TCGA-A2-A1G4-01	LumB	LumB	LumB		0.8879
TCGA-A2-A1G6-01	LumA	Normal	Normal		0.7913
TCGA-A2-A259-01	LumA	LumA	LumA		0.6159
TCGA-A2-A25A-01	Normal	Normal	Normal		0.595
TCGA-A2-A25B-01	LumB	LumB	LumB		0.8657
TCGA-A2-A25C-01	LumB	LumB	LumB		0.7454
TCGA-A2-A25D-01	LumB	LumA	LumA		0.6756
TCGA-A2-A25E-01	LumB	LumB	LumB		0.8077
TCGA-A2-A25F-01	Basal	Basal	Basal		0.2489
TCGA-A2-A3KC-01	LumA	LumA	LumA		0.7365
TCGA-A2-A3KD-01	LumA	LumA	LumA		0.8248
TCGA-A2-A3XS-01	Basal		Basal		0.7855
TCGA-A2-A3XT-01	Basal		Basal		0.6632
TCGA-A2-A3XU-01	Basal		Basal		0.807
TCGA-A2-A3XV-01	Her2		Her2		0.836
TCGA-A2-A3XW-01	Normal		Normal		0.6063
TCGA-A2-A3XX-01	Basal		Basal		0.7868
TCGA-A2-A3XY-01	Basal		Basal		0.5595
TCGA-A2-A3XZ-01	Her2		Her2		0.6138
TCGA-A2-A3Y0-01	Basal		Basal		0.7326
TCGA-A2-A4RW-01	LumA		LumA		0.7072
TCGA-A2-A4RX-01	Basal		Basal		0.6782
TCGA-A2-A4RY-01	Normal		Normal		0.7913
TCGA-A2-A4S0-01	LumA		LumA		0.883
TCGA-A2-A4S1-01	Basal		Basal		0.4622
TCGA-A2-A4S2-01	LumA		LumA		0.7401
