mh	axis	source
MH-102	progression	auto
MH-102b	progression	auto
MH-102g	progression	auto
MH-102f	model	review
MH-102e	model	review
MH-102d	progression	auto
MH-102c	model	review
MH-101	edge-existence	review
MH-100	edge-existence	review
MH-99	cn-causal	auto
MH-97	attribution	review
MH-96	attribution	review
MH-95	attribution	auto
MH-94	attribution	auto
MH-93	model	auto
MH-92	model	auto
MH-91	cn-causal	auto
MH-89	cn-causal	auto
MH-88	attribution	auto
MH-86	attribution	auto
MH-87	cn-causal	auto
MH-80	edge-existence	auto
MH-79	progression	auto
MH-78	edge-existence	auto
MH-77	protein	auto
MH-76	external	auto
MH-75	external	auto
MH-74	external	auto
MH-73	external	auto
MH-72	progression	auto
MH-71	edge-existence	auto
MH-70	progression	auto
MH-69	external	auto
MH-68	subtype	auto
MH-68	external	auto
MH-67	subtype	auto
MH-67	external	auto
MH-66	progression	auto
MH-66	external	auto
MH-65	decoy	auto
MH-65	external	auto
MH-64	progression	review
MH-1	edge-existence	review
MH-2	edge-existence	auto
MH-3	edge-existence	auto
MH-4	cn-causal	auto
MH-5	cn-causal	auto
MH-6	edge-existence	auto
MH-7	edge-existence	review
MH-8	subtype	auto
MH-9	progression	auto
MH-10	subtype	auto
MH-11	subtype	auto
MH-14	subtype	auto
MH-15	subtype	auto
MH-12	subtype	auto
MH-13	subtype	auto
MH-17	edge-existence	auto
MH-18	subtype	auto
MH-19	subtype	auto
MH-16	subtype	auto
MH-20	subtype	auto
MH-21	subtype	auto
MH-22	edge-existence	auto
MH-23	discovery	auto
MH-24	discovery	auto
MH-25	subtype	auto
MH-26	discovery	review
MH-27	progression	auto
MH-28	cn-causal	review
MH-29	cn-causal	auto
MH-30	model	review
MH-31	protein	auto
MH-32	model	review
MH-33	protein	auto
MH-34	protein	auto
MH-35	protein	auto
MH-36	protein	auto
MH-37	external	auto
MH-38	discovery	auto
MH-39	discovery	auto
MH-40	decoy	auto
MH-41	attribution	review
MH-42	attribution	review
MH-43	cn-causal	review
MH-44	edge-existence	auto
MH-45	edge-existence	auto
MH-46	edge-existence	auto
MH-53	edge-existence	review
MH-64	progression	review
MH-63	external	auto
MH-62	external	auto
MH-61	outcome	auto
MH-60	outcome	auto
MH-59	edge-existence	auto
MH-58	progression	review
MH-57	edge-existence	auto
MH-56	dcis-ev	auto
MH-55	discovery	auto
MH-54	dcis-ev	auto
MH-52	dcis-ev	auto
MH-51	dcis-ev	auto
MH-50	progression	auto
MH-49	dcis-ev	auto
MH-48	dcis-ev	auto
MH-47	edge-existence	auto
MH-H1	edge-existence	review
MH-H2	edge-existence	auto
MH-H3	edge-existence	review
MH-103	protein	auto
MH-104	protein	auto
MH-105	protein	auto
MH-106	protein	auto
MH-107	protein	auto
MH-108	protein	auto
MH-109	protein	auto
MH-110	attribution	auto
MH-111	edge-existence	review
MH-112	edge-existence	auto
MH-113	protein	auto
MH-114	protein	auto
MH-115	protein	auto
MH-116/117	protein	auto
MH-118	attribution	review
MH-119/120	cn-causal	auto
MH-121	attribution	auto
MH-122	edge-existence	auto
MH-123	discovery	auto
MH-124	decoy	auto
MH-124b	model	review
MH-126	cn-causal	auto
MH-126b	protein	auto
MH-126c	model	review
MH-124r	cn-causal	auto
MH-125	decoy	auto
MH-127	decoy	auto
MH-127b	attribution	auto
MH-127c	decoy	auto
MH-128	decoy	auto
MH-128a	decoy	auto
MH-128b	decoy	auto
MH-128c	cn-causal	auto
MH-129	cn-causal	auto
MH-130	decoy	auto
MH-130a	decoy	auto
MH-130b	decoy	auto
MH-130c	protein	auto
MH-130d	protein	auto
MH-130e	edge-existence	auto
MH-131	decoy	auto
MH-131b	decoy	auto
MH-132	progression	auto
MH-132b	edge-existence	review
MH-133	cn-causal	auto
MH-134	decoy	auto
MH-135	decoy	auto
MH-136	edge-existence	auto
MH-136b	decoy	auto
MH-137	progression	auto
MH-138	attribution	auto
MH-139	decoy	auto
MH-140	attribution	auto
MH-141	model	auto
MH-142	discovery	auto
MH-143	discovery	auto
MH-144	decoy	auto
MH-145	model	review
MH-146	attribution	review
MH-147	decoy	auto
MH-148	decoy	auto
MH-149	decoy	auto
MH-150	attribution	auto
MH-151	model	review
MH-152	attribution	review
MH-153	discovery	auto
MH-154	edge-existence	auto
MH-156	discovery	auto
MH-157	cn-causal	hand
MH-159	cn-causal	hand
MH-158	progression	hand
