mh	axis_draft	score	needs_review
MH-102	progression	6	
MH-102b	progression	10	REVIEW
MH-102g	progression	21	
MH-102f	subtype	31	
MH-102e	model	14	
MH-102d	progression	16	REVIEW
MH-102c	protein	4	REVIEW
MH-101	protein	2	REVIEW
MH-100	edge-existence	4	
MH-99	cn-causal	3	
MH-97	edge-existence	13	
MH-96	protein	3	
MH-95	attribution	26	
MH-94	attribution	15	
MH-93	model	18	
MH-92	model	19	
MH-91	cn-causal	13	REVIEW
MH-89	cn-causal	6	
MH-88	attribution	14	
MH-86	attribution	6	
MH-87	cn-causal	8	
MH-80	edge-existence	5	REVIEW
MH-79	progression	8	
MH-78	edge-existence	7	
MH-77	protein	34	
MH-76	external	24	
MH-75	external	15	
MH-74	external	27	
MH-73	external	30	
MH-72	progression	10	
MH-71	edge-existence	7	
MH-70	progression	10	
MH-69	external	3	REVIEW
MH-68	subtype	22	
MH-68	external	12	
MH-67	subtype	13	REVIEW
MH-67	external	9	
MH-66	progression	2	REVIEW
MH-66	external	24	
MH-65	decoy	15	
MH-65	external	12	REVIEW
MH-64	protein	6	REVIEW
MH-1	subtype	4	REVIEW
MH-2	edge-existence	2	
MH-3	edge-existence	1	
MH-4	cn-causal	4	
MH-5	cn-causal	2	REVIEW
MH-6	edge-existence	2	
MH-7	subtype	3	REVIEW
MH-8	subtype	5	REVIEW
MH-9	progression	3	
MH-10	subtype	7	
MH-11	subtype	6	
MH-14	subtype	16	
MH-15	subtype	7	
MH-12	subtype	4	
MH-13	subtype	6	
MH-17	edge-existence	10	
MH-18	subtype	6	
MH-19	subtype	2	
MH-16	subtype	15	
MH-20	subtype	4	
MH-21	subtype	41	
MH-22	edge-existence	8	
MH-23	discovery	16	
MH-24	discovery	14	
MH-25	subtype	15	REVIEW
MH-26	subtype	12	REVIEW
MH-27	progression	6	
MH-28	subtype	5	
MH-29	cn-causal	2	
MH-30	subtype	4	
MH-31	protein	3	REVIEW
MH-32	?	0	REVIEW
MH-33	protein	26	
MH-34	protein	23	
MH-35	protein	11	REVIEW
MH-36	protein	24	REVIEW
MH-37	external	33	
MH-38	discovery	9	
MH-39	discovery	11	
MH-40	decoy	23	REVIEW
MH-41	subtype	15	
MH-42	subtype	7	
MH-43	subtype	10	
MH-44	edge-existence	11	
MH-45	edge-existence	11	
MH-46	edge-existence	1	
MH-53	protein	11	REVIEW
MH-64	outcome	14	
MH-63	external	12	
MH-62	external	30	
MH-61	outcome	14	
MH-60	outcome	27	
MH-59	edge-existence	4	
MH-58	?	0	REVIEW
MH-57	edge-existence	6	
MH-56	dcis-ev	9	
MH-55	discovery	15	
MH-54	dcis-ev	6	
MH-52	dcis-ev	6	
MH-51	dcis-ev	8	
MH-50	progression	18	
MH-49	dcis-ev	19	REVIEW
MH-48	dcis-ev	20	REVIEW
MH-47	edge-existence	10	
MH-H1	?	0	REVIEW
MH-H2	edge-existence	1	
MH-H3	?	0	REVIEW
MH-103	protein	16	
MH-104	protein	21	
MH-105	protein	21	
MH-106	protein	17	
MH-107	protein	16	
MH-108	protein	18	
MH-109	protein	8	
MH-110	attribution	12	REVIEW
MH-111	?	0	REVIEW
MH-112	edge-existence	7	
MH-113	protein	22	
MH-114	protein	13	REVIEW
MH-115	protein	13	REVIEW
MH-116/117	protein	15	
MH-118	?	0	REVIEW
MH-119/120	cn-causal	13	
MH-121	attribution	6	
MH-122	edge-existence	6	
MH-123	discovery	8	REVIEW
MH-124	decoy	32	
MH-124b	model	6	
MH-126	cn-causal	13	
MH-126b	protein	10	
MH-126c	model	11	
MH-124r	cn-causal	8	
MH-125	decoy	12	
MH-127	decoy	23	
MH-127b	attribution	16	
MH-127c	decoy	26	REVIEW
MH-128	decoy	20	
MH-128a	decoy	19	
MH-128b	decoy	27	
MH-128c	cn-causal	7	
MH-129	cn-causal	3	
MH-130	decoy	5	
MH-130a	decoy	8	
MH-130b	decoy	7	
MH-130c	protein	34	
MH-130d	protein	22	REVIEW
MH-130e	edge-existence	2	
MH-131	decoy	15	
MH-131b	decoy	9	
MH-132	progression	2	
MH-132b	?	0	REVIEW
MH-133	cn-causal	10	
MH-134	decoy	16	
MH-135	decoy	19	
MH-136	edge-existence	9	
MH-136b	decoy	9	
MH-137	progression	6	
MH-138	attribution	26	REVIEW
MH-139	decoy	5	
MH-140	attribution	16	
MH-141	model	21	
MH-142	discovery	23	
MH-143	discovery	6	REVIEW
MH-144	decoy	12	
MH-145	edge-existence	10	
MH-146	attribution	12	
MH-147	decoy	15	
MH-148	decoy	18	
MH-149	decoy	3	REVIEW
MH-150	attribution	9	
MH-151	?	0	REVIEW
MH-152	attribution	2	REVIEW
MH-153	discovery	4	
MH-154	edge-existence	7	
MH-156	discovery	14	REVIEW
