module	axis	source
MIRACLE/make_miracle_figures.py	subtype	auto
ago_gate.py	edge-existence	auto
analyses/architecture/geneset_architecture.py	edge-existence	auto
analyses/builders/_build_depmap_dependency.py	external	auto
analyses/builders/_build_meth_chunked.py	shared	fallback
analyses/builders/_build_tf_census.py	shared	fallback
analyses/cnv_locus/ccle_breast_target_anticorr.py	subtype	auto
analyses/cnv_locus/ccle_cn_expr_subtype_depth.py	external	auto
analyses/cnv_locus/ccle_mirna_cn_concordance.py	external	auto
analyses/cnv_locus/cell_line_subtype_fidelity.py	subtype	auto
analyses/cnv_locus/cn_dosage_attribution.py	cn-causal	auto
analyses/cnv_locus/mirna_cnv_genome_maps.py	subtype	auto
analyses/cnv_locus/mirna_cnv_subtype_depth.py	cn-causal	auto
analyses/cnv_locus/mirna_locus_chr19_megacluster_gallery.py	shared	fallback
analyses/cnv_locus/mirna_locus_genome_dispersion.py	subtype	auto
analyses/cnv_locus/mirna_locus_sv_case_plots.py	shared	fallback
analyses/cnv_locus/mirna_locus_sv_overlap.py	outcome	auto
analyses/cnv_locus/sc_mirna_target_k562.py	edge-existence	auto
analyses/cptac/composition_pinpoint_lineage.py	model	auto
analyses/cptac/composition_pinpoint_report.py	protein	auto
analyses/cptac/cptac_acquired_pressure.py	protein	auto
analyses/cptac/cptac_orphan_confound_pilot.py	protein	auto
analyses/cptac/cptac_orphan_discovery.py	protein	auto
analyses/cptac/cptac_orphan_evidence_table.py	protein	auto
analyses/cptac/cptac_resid_survivors.py	protein	auto
analyses/cptac/cptac_target_specificity.py	protein	auto
analyses/cross_state/cross_state_coupling.py	progression	auto
analyses/cross_state/cross_state_deep_dive.py	progression	auto
analyses/cross_state/cross_state_expression_panels.py	subtype	auto
analyses/cross_state/cross_state_landscape.py	progression	auto
analyses/dcis_ev/dcis_caf_nf_gse37527.py	protein	auto
analyses/dcis_ev/dcis_caf_tgfb_gse196354.py	dcis-ev	auto
analyses/dcis_ev/dcis_ev_progression.py	progression	auto
analyses/dcis_ev/dcis_geo_loader.py	dcis-ev	auto
analyses/dcis_ev/dcis_htan_compartment.py	dcis-ev	auto
analyses/dcis_ev/dcis_lcm_compartment_gse162670.py	dcis-ev	auto
analyses/dcis_ev/dcis_mir29c_gse93740.py	dcis-ev	auto
analyses/dcis_ev/dcis_mrna_coupling.py	dcis-ev	auto
analyses/dcis_ev/dcis_orphan_rigor.py	discovery	auto
analyses/dcis_ev/dcis_risom_outcome_niche.py	dcis-ev	auto
analyses/dcis_ev/dcis_timing.py	dcis-ev	auto
analyses/dcis_ev/ev_mirna_301a_target_depth.py	subtype	auto
analyses/dcis_ev/ev_mirna_deep.py	discovery	auto
analyses/dcis_ev/ev_mirna_followup.py	dcis-ev	auto
analyses/dcis_ev/ev_mirna_gse255660_screen.py	discovery	auto
analyses/dcis_ev/ev_mirna_gse270497_ts.py	dcis-ev	auto
analyses/dcis_ev/ev_mirna_multi_cohort.py	dcis-ev	auto
analyses/dcis_ev/ev_mirna_replication.py	dcis-ev	auto
analyses/dcis_ev/ev_mirna_screening.py	dcis-ev	auto
analyses/dcis_ev/ev_mirna_ts_pressure.py	dcis-ev	auto
analyses/edge_panels/edge_acquired_pressure_panels.py	progression	auto
analyses/edge_panels/edge_breast_context.py	edge-existence	auto
analyses/edge_panels/edge_partial_corr_panels.py	edge-existence	auto
analyses/edge_panels/edge_pressure_panels.py	subtype	auto
analyses/edge_panels/edge_pressure_vs_corr_scatter.py	edge-existence	auto
analyses/edge_panels/edge_prior_refinement.py	shared	fallback
analyses/edge_panels/edge_transition_pressure_panels.py	progression	auto
analyses/evidence_dev/encori_evidence_sensitivity.py	shared	fallback
analyses/evidence_dev/encori_mirtar_comparison.py	shared	fallback
analyses/evidence_dev/encori_share_sensitivity.py	shared	fallback
analyses/evidence_dev/evidence_scoring_sensitivity.py	edge-existence	auto
analyses/evidence_dev/fetch_encori_mrna.py	protein	auto
analyses/evidence_dev/orphan_noncircular_report.py	discovery	auto
analyses/evidence_dev/orphan_noncircular_test.py	discovery	auto
analyses/evidence_dev/orphan_noncircular_universe.py	discovery	auto
analyses/figures/make_grant_figure.py	subtype	auto
analyses/figures/make_seed_grant_figures.py	subtype	auto
analyses/mir301/mir301_family_depth.py	discovery	auto
analyses/mir301/mir301_focus_genes.py	discovery	auto
analyses/misc/_oof_arm_vs_family_eiv.py	edge-existence	auto
analyses/misc/_oof_arm_vs_family_eiv2.py	shared	fallback
analyses/misc/_oof_arm_vs_family_eiv3.py	shared	fallback
analyses/misc/compartment_annotate_network.py	edge-existence	auto
analyses/misc/concordance_target_join.py	shared	fallback
analyses/misc/decoupling_validation.py	edge-existence	auto
analyses/misc/escape_mechanism.py	edge-existence	auto
analyses/misc/gene_expression_explainability.py	subtype	auto
analyses/misc/gene_force_concentration.py	edge-existence	auto
analyses/misc/genome_wide_promiscuity.py	shared	fallback
analyses/misc/genomewide_promiscuity.py	attribution	auto
analyses/misc/hub_gene_methylation.py	shared	fallback
analyses/misc/mir301_family_network.py	decoy	auto
analyses/misc/mirna_comovement.py	progression	auto
analyses/misc/nat_tumor_umap.py	progression	auto
analyses/misc/spine_claim_audit.py	subtype	auto
analyses/misc/target_combined_anticorr.py	edge-existence	auto
analyses/nmf/nmf_advanced.py	edge-existence	auto
analyses/nmf/nmf_sample_signatures.py	subtype	auto
analyses/nmf/within_pathway_nmf.py	attribution	auto
analyses/nmf/within_subtype_signatures.py	subtype	auto
analyses/ops/axis_bootstrap.py	discovery	auto
analyses/ops/gen_architecture.py	shared	fallback
analyses/ops/rerun_normal_excluded_batch.py	discovery	auto
analyses/ops/rerun_parallel.py	progression	auto
analyses/outcome/outcome_advanced.py	edge-existence	auto
analyses/outcome/outcome_buffa_pressure.py	external	auto
analyses/outcome/outcome_escape_signature.py	external	auto
analyses/outcome/outcome_extra_axes.py	outcome	auto
analyses/outcome/outcome_famous_compare.py	model	auto
analyses/outcome/outcome_famous_mirnas.py	edge-existence	auto
analyses/outcome/outcome_metabric.py	external	auto
analyses/outcome/outcome_mir200_deepdive.py	model	auto
analyses/outcome/outcome_pressure_survival.py	outcome	auto
analyses/outcome/outcome_pressure_variants.py	outcome	auto
analyses/outcome/outcome_program_role_topology.py	outcome	auto
analyses/outcome/outcome_subtype.py	outcome	auto
analyses/outcome/outcome_survival.py	outcome	auto
