sample	stromal	immune	estimate
TCGA-AR-A5QQ-01	2958.58422790343	5329.62810821501	8288.21233611844
TCGA-D8-A1JA-01	3286.00937354453	2002.49395744341	5288.50333098794
TCGA-BH-A0BQ-01	4019.56868282746	3195.95348736577	7215.52217019323
TCGA-BH-A0BT-01	2645.57006610711	2130.12061702612	4775.69068313324
TCGA-A8-A06X-01	2570.52090099126	2369.81263183088	4940.33353282214
TCGA-A8-A096-01	4498.99087379881	4518.38990066859	9017.3807744674
TCGA-BH-A0C7-01	2442.30862313879	2071.99936016713	4514.30798330592
TCGA-AC-A5XU-01	2815.84950928847	1396.25043719622	4212.09994648469
TCGA-PE-A5DE-01	3293.70975671843	5908.66685022573	9202.37660694416
TCGA-PE-A5DC-01	1843.04392857748	1382.08836640993	3225.13229498741
TCGA-AR-A0TV-01	1663.03842406422	3474.48386099468	5137.5222850589
TCGA-GM-A3XG-01	1637.82500769238	832.562549676457	2470.38755736884
TCGA-BH-A18J-01	3142.37041884485	1692.93562808323	4835.30604692809
TCGA-BH-A0W7-01	4105.45151399547	4327.37929526341	8432.83080925888
TCGA-E9-A3QA-01	2670.98155239832	5303.6445655552	7974.62611795351
TCGA-A7-A4SD-01	2987.44525563507	3827.75687498562	6815.20213062069
TCGA-BH-A0HA-01	4359.19065605781	3339.68617638605	7698.87683244386
TCGA-AR-A5QN-01	3222.82944140685	2595.18012570251	5818.00956710936
TCGA-A7-A0CH-11	4369.94637639886	3905.370327307	8275.31670370586
TCGA-A7-A0CE-01	1511.55805515927	1327.72344672955	2839.28150188882
TCGA-AR-A0U1-01	1979.5952139893	2544.44478813524	4524.04000212454
TCGA-EW-A1OZ-01	3112.83975043777	2624.43618813582	5737.27593857358
TCGA-A2-A0EY-01	2654.70106190116	2883.95726671819	5538.65832861935
TCGA-A8-A09R-01	3476.52032010662	3229.887368702	6706.40768880863
TCGA-LL-A440-01	5047.70795605388	4240.27809017454	9287.98604622842
TCGA-BH-A8FY-01	607.827673755963	1608.00101249589	2215.82868625185
TCGA-E2-A1II-01	2257.99074504598	5668.47987930643	7926.47062435241
TCGA-A7-A6VX-01	3033.30755615116	1713.20079814883	4746.50835429999
TCGA-C8-A273-01	3070.2940278235	1676.51146202994	4746.80548985345
TCGA-BH-A1EO-01	5139.80375945947	3386.7308693317	8526.53462879117
TCGA-OL-A5RX-01	2507.99264178623	2301.37157780573	4809.36421959196
TCGA-BH-A0B9-01	871.602128722386	4217.45462570627	5089.05675442865
TCGA-EW-A1P5-01	2324.9929282076	3139.56913700816	5464.56206521576
TCGA-AO-A03P-01	2184.6345706286	1292.94255704964	3477.57712767824
TCGA-AN-A0AS-01	3628.18875034603	2638.36712082194	6266.55587116797
TCGA-A2-A1G0-01	3852.5920070466	2841.78207395019	6694.37408099679
TCGA-B6-A0I8-01	2363.25290214891	620.64830874138	2983.90121089029
TCGA-A7-A4SA-01	3526.24425133857	4150.39061373786	7676.63486507643
TCGA-E9-A1RC-11	5020.17087995703	3189.30354327424	8209.47442323127
TCGA-A7-A0DB-11	5608.27945256352	4339.65751869398	9947.9369712575
TCGA-AR-A24S-01	4709.25280485114	4243.08407154718	8952.33687639833
TCGA-BH-A0H9-11	4280.22237829513	2478.80961492716	6759.03199322229
TCGA-LD-A74U-01	4119.67689134191	3175.46115815793	7295.13804949984
TCGA-D8-A1XA-01	2504.38544961973	1922.03760167701	4426.42305129674
TCGA-D8-A1XR-01	2239.89532545165	1211.88234338098	3451.77766883264
TCGA-A8-A07Z-01	1567.87324591479	2479.89188621107	4047.76513212587
TCGA-E2-A1IJ-01	4708.58827660553	3896.34846522519	8604.93674183072
TCGA-GM-A2DH-01	2049.57941083448	4033.17852474907	6082.75793558355
TCGA-BH-A0AY-01	4477.85526967604	3369.6337485618	7847.48901823784
TCGA-BH-A42V-01	3464.07353823133	2850.47986065568	6314.55339888701
TCGA-B6-A0IH-01	3757.90782551594	3051.36333300484	6809.27115852078
TCGA-A1-A0SH-01	4598.38658122678	2153.69660489285	6752.08318611963
TCGA-AR-A1AQ-01	2967.92986672637	4792.63848271902	7760.56834944539
TCGA-A7-A0DC-01	-1100.02997751035	-999.750982543987	-2099.78096005433
TCGA-A8-A07P-01	3027.46504925699	2250.67213747766	5278.13718673465
TCGA-A1-A0SN-01	3615.27279032054	3402.81569375483	7018.08848407537
TCGA-BH-A18T-01	1531.87236049753	1941.28108749066	3473.15344798818
TCGA-BH-A0E0-11	2047.26651999127	1265.85735822284	3313.12387821411
TCGA-E9-A22B-01	3735.80053023018	2249.75478461932	5985.55531484951
TCGA-BH-A0HA-11	1385.6690362043	1533.26960880329	2918.93864500759
TCGA-BH-A18P-11	3260.21559202469	1150.90720430742	4411.12279633211
TCGA-E9-A1N4-11	2036.58593159726	2028.12774953949	4064.71368113675
TCGA-S3-AA10-01	2622.53809508072	5392.55340585331	8015.09150093403
TCGA-AO-A0J9-01	4588.79773064253	4385.79164152011	8974.58937216263
TCGA-A1-A0SE-01	3117.83530748086	1323.50360986868	4441.33891734954
TCGA-OL-A5RV-01	2103.82257159975	1234.26945914169	3338.09203074145
TCGA-BH-A18U-11	3532.77613216039	2202.91086126622	5735.68699342661
TCGA-A2-A04U-01	1566.67643073151	805.934181148047	2372.61061187956
TCGA-A2-A3XV-01	2135.38157638833	2004.02716944041	4139.40874582874
TCGA-A7-A3IZ-01	1352.68480425246	1157.38775435755	2510.07255861001
TCGA-E2-A1LS-11	3855.18363491646	1563.72456650458	5418.90820142104
TCGA-AC-A2FM-11	2807.12829574544	2580.686106742	5387.81440248744
TCGA-D8-A1Y2-01	5054.41451333337	5339.76616333401	10394.1806766674
TCGA-E9-A229-01	4566.78505388891	3057.60431693472	7624.38937082363
TCGA-A7-A4SB-01	2152.33597835821	733.758512200767	2886.09449055897
TCGA-BH-A0HK-01	3444.95736179275	2374.03614694374	5818.99350873649
TCGA-3C-AAAU-01	896.838355859707	538.403272936685	1435.24162879639
TCGA-BH-A18M-11	4549.84733295684	2675.74053824314	7225.58787119997
TCGA-E2-A14Z-01	3446.807381336	4467.35475003365	7914.16213136964
TCGA-A2-A3XW-01	3021.56956664837	3639.86376084473	6661.4333274931
TCGA-D8-A1Y1-01	3882.5041364098	2558.63470981181	6441.13884622161
TCGA-AC-A7VB-01	268.863222252148	-250.844826634595	18.0183956175529
TCGA-B6-A0RO-01	1203.38574122916	1002.2935661375	2205.67930736666
TCGA-A2-A04P-01	2647.44803747565	3369.50214763818	6016.95018511383
TCGA-A7-A13E-01	1631.8544384739	661.811032310421	2293.66547078432
TCGA-A7-A0D9-01	2215.49830896384	621.157189749244	2836.65549871309
TCGA-E2-A14R-01	1319.27652031879	3690.11078223967	5009.38730255847
TCGA-GM-A3XN-01	4174.21601013601	3169.45134302341	7343.66735315942
TCGA-A8-A06Y-01	504.558579914069	403.754020491719	908.312600405788
TCGA-E2-A1IK-01	1740.03617349577	3303.96829901824	5044.00447251401
TCGA-E2-A1IU-01	1747.53388987101	2018.40552716888	3765.9394170399
TCGA-BH-A0E2-01	3258.23896376571	1958.53694877124	5216.77591253696
TCGA-BH-A0B3-11	3507.27999143678	2970.22102930825	6477.50102074503
TCGA-A2-A0CZ-01	4650.00863912199	3416.92036911684	8066.92900823882
TCGA-AR-A2LE-01	2350.48414518597	1776.92702840196	4127.41117358793
TCGA-A8-A0A1-01	4136.11264733829	4376.97081194809	8513.08345928637
TCGA-E2-A1L7-01	2752.72704477693	3737.2619144228	6489.98895919974
TCGA-E2-A14T-01	1970.80884695187	1937.6084650207	3908.41731197257
TCGA-AC-A5EH-01	3736.60244400409	2938.59340667063	6675.19585067472
TCGA-GM-A2DM-01	1422.44233825711	2599.29516044242	4021.73749869953
TCGA-A2-A0D4-01	1392.61719548782	495.209779330397	1887.82697481822
TCGA-BH-A0B1-01	3174.13438125847	1719.21897475517	4893.35335601365
TCGA-AO-A12F-01	2941.00840923649	1148.36036220103	4089.36877143752
TCGA-AC-A3HN-01	4593.07294262546	3590.21405486858	8183.28699749404
TCGA-C8-A1HN-01	2016.31296145843	1767.66867386798	3783.98163532642
TCGA-A2-A25C-01	3317.92133417362	2175.50459674472	5493.42593091834
TCGA-E9-A6HE-01	3222.15057932056	2803.60393057188	6025.75450989244
TCGA-EW-A6SB-01	1071.8599489744	5405.38887836103	6477.24882733543
TCGA-E9-A1N4-01	3872.04779455332	3940.36693273986	7812.41472729319
TCGA-B6-A0RH-01	3085.42451053831	1774.68624973789	4860.11076027621
TCGA-A8-A09N-01	2583.77938112958	1836.03276930235	4419.81215043193
TCGA-AO-A0JE-01	4656.1288403897	4429.28485317665	9085.41369356635
TCGA-E2-A106-01	1075.70799288274	394.099414314025	1469.80740719676
TCGA-E2-A14S-01	2181.91858587842	2856.23173220139	5038.15031807981
TCGA-AC-A3TM-01	2226.26718765586	2609.57057175791	4835.83775941377
TCGA-AQ-A1H3-01	3571.64334810387	2621.31352887568	6192.95687697955
TCGA-E2-A15R-01	1165.43039645469	-150.72728795238	1014.70310850231
